
说明：这里的正确率测试错了，有一定误差

WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST R Kaggle.py:55: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-15 01:04:31.180482: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
E: 0 正确率 0.0 Loss: 2.2951284292893517 7 1
E: 4 正确率 33.33333333333333 Loss: 2.269965532873958 0 0
E: 8 正确率 25.0 Loss: 2.292091707589653 6 5
E: 12 正确率 40.0 Loss: 2.286914764092698 1 1
E: 16 正确率 33.33333333333333 Loss: 2.3279481204988812 7 2
E: 20 正确率 28.57142857142857 Loss: 2.3149549030982666 5 8
E: 24 正确率 25.0 Loss: 2.3189297769521127 0 2
E: 28 正确率 33.33333333333333 Loss: 2.290711060598626 9 9
E: 32 正确率 30.0 Loss: 2.300334562940695 3 4
E: 36 正确率 36.36363636363637 Loss: 2.2860609380137653 3 3
E: 40 正确率 41.66666666666667 Loss: 2.2891501377687926 9 9
E: 44 正确率 38.46153846153847 Loss: 2.3137477553534596 6 2
E: 48 正确率 35.714285714285715 Loss: 2.2963667350810857 6 7
E: 52 正确率 33.33333333333333 Loss: 2.2949208259568867 7 1
E: 56 正确率 31.25 Loss: 2.3186640326994827 0 2
E: 60 正确率 29.411764705882355 Loss: 2.2999891618471633 6 1
E: 64 正确率 33.33333333333333 Loss: 2.2726358082288134 6 6
E: 68 正确率 36.84210526315789 Loss: 2.2816044956168353 1 1
E: 72 正确率 40.0 Loss: 2.2654119510961968 6 6
E: 76 正确率 38.095238095238095 Loss: 2.310509074107572 0 7
E: 80 正确率 36.36363636363637 Loss: 2.299368093035254 6 5
E: 84 正确率 34.78260869565217 Loss: 2.30979520590244 0 2
E: 88 正确率 37.5 Loss: 2.2707284507487446 9 9
E: 92 正确率 36.0 Loss: 2.302977321839172 0 4
E: 96 正确率 38.46153846153847 Loss: 2.28941729039129 1 1
