ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Training step: 0 Accuracy: 8.1 learning rate: 0.0049999496
Training step: 100 Accuracy: 20.4 learning rate: 0.004994927
Training step: 200 Accuracy: 20.599999999999998 learning rate: 0.0049899095
Training step: 300 Accuracy: 28.4 learning rate: 0.004984897
Training step: 400 Accuracy: 26.8 learning rate: 0.0049798894
Training step: 500 Accuracy: 28.299999999999997 learning rate: 0.004974887
Training step: 600 Accuracy: 25.900000000000002 learning rate: 0.0049698898
Training step: 700 Accuracy: 32.6 learning rate: 0.0049648974
Training step: 800 Accuracy: 41.699999999999996 learning rate: 0.0049599097
Training step: 900 Accuracy: 16.5 learning rate: 0.0049549276
Training step: 1000 Accuracy: 42.6 learning rate: 0.00494995
Training step: 1100 Accuracy: 47.4 learning rate: 0.004944978
Training step: 1200 Accuracy: 43.1 learning rate: 0.0049400106
Training step: 1300 Accuracy: 43.6 learning rate: 0.004935048
Training step: 1400 Accuracy: 45.300000000000004 learning rate: 0.0049300906
Training step: 1500 Accuracy: 50.3 learning rate: 0.0049251383
